Epoch,Group,TestAccuracy
0,1,0.1886
0,2,0.1428
50,1,0.8466
50,2,0.0898
100,1,0.8968
100,2,0.0746
150,1,0.912
150,2,0.074
200,1,0.9286
200,2,0.0746
250,1,0.9334
250,2,0.0822
300,1,0.933
300,2,0.0762
350,1,0.9424
350,2,0.0686
400,1,0.9464
400,2,0.0744
450,1,0.9476
450,2,0.0712
500,1,0.951
500,2,0.0716
550,1,0.9522
550,2,0.0706
600,1,0.9528
600,2,0.0678
650,1,0.9546
650,2,0.0688
700,1,0.9556
700,2,0.0646
750,1,0.9538
750,2,0.0644
800,1,0.9588
800,2,0.0646
850,1,0.962
850,2,0.0666
900,1,0.9546
900,2,0.065
950,1,0.9636
950,2,0.0614
1000,1,0.9618
1000,2,0.0574
1050,1,0.9634
1050,2,0.0646
1100,1,0.9592
1100,2,0.0778
1150,1,0.9646
1150,2,0.084
1200,1,0.9678
1200,2,0.063
1250,1,0.9642
1250,2,0.073
1300,1,0.9666
1300,2,0.0682
1350,1,0.9664
1350,2,0.0924
1400,1,0.969
1400,2,0.0714
1450,1,0.9706
1450,2,0.0772
1500,1,0.9694
1500,2,0.0746
1550,1,0.9718
1550,2,0.066
1600,1,0.9686
1600,2,0.0792
1650,1,0.9682
1650,2,0.0954
1700,1,0.9698
1700,2,0.0808
1750,1,0.9708
1750,2,0.082
1800,1,0.9732
1800,2,0.0656
1850,1,0.9728
1850,2,0.0982
1900,1,0.9736
1900,2,0.0786
1950,1,0.973
1950,2,0.0636
2000,1,0.9732
2000,2,0.1074
2050,1,0.9732
2050,2,0.105
2100,1,0.9708
2100,2,0.103
2150,1,0.9726
2150,2,0.1084
2200,1,0.972
2200,2,0.0956
2250,1,0.9728
2250,2,0.0924
2300,1,0.9728
2300,2,0.0754
2350,1,0.973
2350,2,0.1072
2400,1,0.9682
2400,2,0.108
2450,1,0.9696
2450,2,0.1012
2500,1,0.973
2500,2,0.1014
2550,1,0.974
2550,2,0.0936
2600,1,0.973
2600,2,0.1198
2650,1,0.974
2650,2,0.096
2700,1,0.9744
2700,2,0.0788
2750,1,0.9764
2750,2,0.1
2800,1,0.976
2800,2,0.096
2850,1,0.9746
2850,2,0.0936
2900,1,0.9748
2900,2,0.1018
2950,1,0.975
2950,2,0.0966
3000,1,0.9748
3000,2,0.116
3050,1,0.9768
3050,2,0.8242
3100,1,0.9764
3100,2,0.8672
3150,1,0.9744
3150,2,0.8796
3200,1,0.9692
3200,2,0.8904
3250,1,0.9684
3250,2,0.8996
3300,1,0.9656
3300,2,0.9022
3350,1,0.9592
3350,2,0.9036
3400,1,0.9574
3400,2,0.9104
3450,1,0.9572
3450,2,0.9142
3500,1,0.9472
3500,2,0.9162
3550,1,0.9428
3550,2,0.9176
3600,1,0.942
3600,2,0.9212
3650,1,0.9374
3650,2,0.9238
3700,1,0.9308
3700,2,0.924
3750,1,0.9298
3750,2,0.9226
3800,1,0.927
3800,2,0.9252
3850,1,0.9262
3850,2,0.927
3900,1,0.9236
3900,2,0.9276
3950,1,0.9204
3950,2,0.9314
4000,1,0.9172
4000,2,0.9322
4050,1,0.921
4050,2,0.932
4100,1,0.919
4100,2,0.9336
4150,1,0.9158
4150,2,0.9336
4200,1,0.9058
4200,2,0.9348
4250,1,0.9042
4250,2,0.9354
4300,1,0.9022
4300,2,0.9364
4350,1,0.9048
4350,2,0.9352
4400,1,0.9022
4400,2,0.9378
4450,1,0.8948
4450,2,0.9366
4500,1,0.8892
4500,2,0.9376
4550,1,0.8896
4550,2,0.9396
4600,1,0.8934
4600,2,0.9402
4650,1,0.891
4650,2,0.942
4700,1,0.8804
4700,2,0.9414
4750,1,0.8678
4750,2,0.942
4800,1,0.8672
4800,2,0.9438
4850,1,0.8712
4850,2,0.9426
4900,1,0.8656
4900,2,0.9458
4950,1,0.874
4950,2,0.9412
5000,1,0.8724
5000,2,0.944
5050,1,0.8708
5050,2,0.944
5100,1,0.8738
5100,2,0.9428
5150,1,0.867
5150,2,0.9448
5200,1,0.8598
5200,2,0.944
5250,1,0.8622
5250,2,0.9456
5300,1,0.8646
5300,2,0.9456
5350,1,0.8572
5350,2,0.948
5400,1,0.8542
5400,2,0.947
5450,1,0.851
5450,2,0.9476
5500,1,0.8406
5500,2,0.9458
5550,1,0.8502
5550,2,0.948
5600,1,0.8416
5600,2,0.9478
5650,1,0.8406
5650,2,0.9484
5700,1,0.8414
5700,2,0.9488
5750,1,0.8424
5750,2,0.9476
5800,1,0.833
5800,2,0.95
5850,1,0.8364
5850,2,0.949
5900,1,0.8414
5900,2,0.949
5950,1,0.8342
5950,2,0.9488
