Epoch,Group,TestAccuracy

0,1,0.2892

0,2,0.0982

50,1,0.9118

50,2,0.0846

100,1,0.9374

100,2,0.0884

150,1,0.9482

150,2,0.1006

200,1,0.9406

200,2,0.0936

250,1,0.949

250,2,0.0882

300,1,0.951

300,2,0.0702

350,1,0.9522

350,2,0.0712

400,1,0.9596

400,2,0.0892

450,1,0.9602

450,2,0.072

500,1,0.9598

500,2,0.0762

550,1,0.9612

550,2,0.079

600,1,0.9642

600,2,0.0848

650,1,0.9616

650,2,0.0808

700,1,0.956

700,2,0.0778

750,1,0.9622

750,2,0.087

800,1,0.963

800,2,0.086

850,1,0.9638

850,2,0.095

900,1,0.953

900,2,0.0926

950,1,0.968

950,2,0.0662

1000,1,0.9624

1000,2,0.0684

1050,1,0.963

1050,2,0.0602

1100,1,0.9624

1100,2,0.0624

1150,1,0.9702

1150,2,0.081

1200,1,0.9658

1200,2,0.0796

1250,1,0.971

1250,2,0.0786

1300,1,0.9622

1300,2,0.0826

1350,1,0.9662

1350,2,0.1016

1400,1,0.9688

1400,2,0.0894

1450,1,0.9634

1450,2,0.0814

1500,1,0.962

1500,2,0.0994

1550,1,0.971

1550,2,0.093

1600,1,0.9694

1600,2,0.08

1650,1,0.9706

1650,2,0.0774

1700,1,0.9642

1700,2,0.0802

1750,1,0.964

1750,2,0.0846

1800,1,0.9572

1800,2,0.079

1850,1,0.9674

1850,2,0.092

1900,1,0.9644

1900,2,0.0838

1950,1,0.9654

1950,2,0.0892

2000,1,0.97

2000,2,0.0684

2050,1,0.9716

2050,2,0.0788

2100,1,0.9658

2100,2,0.0756

2150,1,0.963

2150,2,0.0828

2200,1,0.9662

2200,2,0.0812

2250,1,0.974

2250,2,0.0722

2300,1,0.9704

2300,2,0.083

2350,1,0.9702

2350,2,0.0804

2400,1,0.9716

2400,2,0.0786

2450,1,0.9726

2450,2,0.0858

2500,1,0.9704

2500,2,0.0814

2550,1,0.9636

2550,2,0.0848

2600,1,0.97

2600,2,0.0866

2650,1,0.9724

2650,2,0.0648

2700,1,0.967

2700,2,0.0636

2750,1,0.9676

2750,2,0.0866

2800,1,0.9692

2800,2,0.0764

2850,1,0.9752

2850,2,0.08

2900,1,0.9714

2900,2,0.0876

2950,1,0.9678

2950,2,0.1052

3000,1,0.961

3000,2,0.0904

3050,1,0.9604

3050,2,0.8164

3100,1,0.9558

3100,2,0.8734

3150,1,0.9534

3150,2,0.8846

3200,1,0.9542

3200,2,0.8936

3250,1,0.9482

3250,2,0.9058

3300,1,0.9494

3300,2,0.9068

3350,1,0.9444

3350,2,0.9126

3400,1,0.934

3400,2,0.9182

3450,1,0.9354

3450,2,0.9188

3500,1,0.934

3500,2,0.9222

3550,1,0.9318

3550,2,0.9274

3600,1,0.9336

3600,2,0.9264

3650,1,0.9376

3650,2,0.9294

3700,1,0.9352

3700,2,0.9272

3750,1,0.934

3750,2,0.9228

3800,1,0.9414

3800,2,0.9262

3850,1,0.9334

3850,2,0.9316

3900,1,0.9318

3900,2,0.9294

3950,1,0.9234

3950,2,0.932

4000,1,0.9298

4000,2,0.9316

4050,1,0.9246

4050,2,0.9374

4100,1,0.9222

4100,2,0.931

4150,1,0.9192

4150,2,0.9318

4200,1,0.9162

4200,2,0.937

4250,1,0.9078

4250,2,0.9336

4300,1,0.9098

4300,2,0.9342

4350,1,0.9188

4350,2,0.9378

4400,1,0.9088

4400,2,0.9396

4450,1,0.8984

4450,2,0.939

4500,1,0.9038

4500,2,0.9412

4550,1,0.8962

4550,2,0.9428

4600,1,0.8936

4600,2,0.9428

4650,1,0.8966

4650,2,0.945

4700,1,0.891

4700,2,0.9422

4750,1,0.8886

4750,2,0.9456

4800,1,0.8832

4800,2,0.9416

4850,1,0.888

4850,2,0.9428

4900,1,0.877

4900,2,0.943

4950,1,0.8738

4950,2,0.94

5000,1,0.8766

5000,2,0.9446

5050,1,0.882

5050,2,0.9436

5100,1,0.897

5100,2,0.9458

5150,1,0.884

5150,2,0.944

5200,1,0.8824

5200,2,0.9468

5250,1,0.871

5250,2,0.9452

5300,1,0.8668

5300,2,0.9462

5350,1,0.8712

5350,2,0.9474

5400,1,0.855

5400,2,0.9424

5450,1,0.858

5450,2,0.9474

5500,1,0.8476

5500,2,0.9502

5550,1,0.8608

5550,2,0.95

5600,1,0.8542

5600,2,0.9476

5650,1,0.851

5650,2,0.9478

5700,1,0.857

5700,2,0.9464

5750,1,0.836

5750,2,0.9442

5800,1,0.8394

5800,2,0.947

5850,1,0.829

5850,2,0.949

5900,1,0.8416

5900,2,0.9492

5950,1,0.8382

5950,2,0.9434

