Epoch,Group,TestAccuracy
0,1,0.1636
0,2,0.0846
50,1,0.3644
50,2,0.097
100,1,0.4136
100,2,0.0934
150,1,0.4776
150,2,0.0818
200,1,0.4182
200,2,0.0996
250,1,0.4546
250,2,0.096
300,1,0.4092
300,2,0.0988
350,1,0.4162
350,2,0.0854
400,1,0.434
400,2,0.0986
450,1,0.437
450,2,0.0978
500,1,0.438
500,2,0.0988
550,1,0.4268
550,2,0.0978
600,1,0.4154
600,2,0.0976
650,1,0.3752
650,2,0.0986
700,1,0.4054
700,2,0.0984
750,1,0.4164
750,2,0.0958
800,1,0.3944
800,2,0.0976
850,1,0.441
850,2,0.0986
900,1,0.4488
900,2,0.0976
950,1,0.3616
950,2,0.0954
1000,1,0.4292
1000,2,0.0986
1050,1,0.421
1050,2,0.0958
1100,1,0.394
1100,2,0.0986
1150,1,0.4324
1150,2,0.096
1200,1,0.3306
1200,2,0.0856
1250,1,0.4122
1250,2,0.0952
1300,1,0.4398
1300,2,0.0918
1350,1,0.43
1350,2,0.0934
1400,1,0.447
1400,2,0.0802
1450,1,0.33
1450,2,0.0862
1500,1,0.41
1500,2,0.0988
1550,1,0.3954
1550,2,0.092
1600,1,0.4286
1600,2,0.099
1650,1,0.4052
1650,2,0.0982
1700,1,0.4494
1700,2,0.0942
1750,1,0.3518
1750,2,0.075
1800,1,0.3516
1800,2,0.0858
1850,1,0.3792
1850,2,0.0696
1900,1,0.3422
1900,2,0.046
1950,1,0.3952
1950,2,0.0978
2000,1,0.38
2000,2,0.0924
2050,1,0.4204
2050,2,0.0864
2100,1,0.4358
2100,2,0.0992
2150,1,0.4402
2150,2,0.0958
2200,1,0.415
2200,2,0.0926
2250,1,0.4484
2250,2,0.0954
2300,1,0.4322
2300,2,0.0966
2350,1,0.4262
2350,2,0.0926
2400,1,0.4512
2400,2,0.0956
2450,1,0.4128
2450,2,0.0968
2500,1,0.4324
2500,2,0.0964
2550,1,0.4274
2550,2,0.0952
2600,1,0.3954
2600,2,0.096
2650,1,0.4126
2650,2,0.1008
2700,1,0.4314
2700,2,0.0956
2750,1,0.441
2750,2,0.0956
2800,1,0.4428
2800,2,0.0994
2850,1,0.4248
2850,2,0.0956
2900,1,0.4362
2900,2,0.0932
2950,1,0.4642
2950,2,0.0932
3000,1,0.2854
3000,2,0.093
3050,1,0.314
3050,2,0.0924
3100,1,0.3074
3100,2,0.0924
3150,1,0.2336
3150,2,0.1
3200,1,0.2338
3200,2,0.1
3250,1,0.3222
3250,2,0.0986
3300,1,0.231
3300,2,0.11
3350,1,0.2312
3350,2,0.11
3400,1,0.2312
3400,2,0.1128
3450,1,0.2312
3450,2,0.1102
3500,1,0.3216
3500,2,0.0958
3550,1,0.2312
3550,2,0.1126
3600,1,0.2358
3600,2,0.099
3650,1,0.231
3650,2,0.11
3700,1,0.3222
3700,2,0.0986
3750,1,0.3224
3750,2,0.0986
3800,1,0.2314
3800,2,0.1126
3850,1,0.3218
3850,2,0.0958
3900,1,0.313
3900,2,0.0924
3950,1,0.2356
3950,2,0.099
4000,1,0.3166
4000,2,0.0976
4050,1,0.3166
4050,2,0.0976
4100,1,0.2336
4100,2,0.1002
4150,1,0.313
4150,2,0.0924
4200,1,0.2312
4200,2,0.1058
4250,1,0.3226
4250,2,0.1042
4300,1,0.2334
4300,2,0.172
4350,1,0.2334
4350,2,0.14
4400,1,0.2312
4400,2,0.1674
4450,1,0.3164
4450,2,0.1528
4500,1,0.2334
4500,2,0.2022
4550,1,0.3222
4550,2,0.1952
4600,1,0.2334
4600,2,0.2288
4650,1,0.2316
4650,2,0.2118
4700,1,0.3218
4700,2,0.2102
4750,1,0.2336
4750,2,0.2052
4800,1,0.3168
4800,2,0.2334
4850,1,0.2334
4850,2,0.2418
4900,1,0.3162
4900,2,0.2346
4950,1,0.322
4950,2,0.2342
5000,1,0.2312
5000,2,0.233
5050,1,0.2312
5050,2,0.2068
5100,1,0.2312
5100,2,0.2342
5150,1,0.2334
5150,2,0.2392
5200,1,0.3216
5200,2,0.227
5250,1,0.231
5250,2,0.2398
5300,1,0.3218
5300,2,0.2144
5350,1,0.3216
5350,2,0.2256
5400,1,0.231
5400,2,0.232
5450,1,0.2336
5450,2,0.2274
5500,1,0.2312
5500,2,0.2366
5550,1,0.3216
5550,2,0.2264
5600,1,0.2312
5600,2,0.237
5650,1,0.322
5650,2,0.2298
5700,1,0.2336
5700,2,0.239
5750,1,0.2336
5750,2,0.2476
5800,1,0.2312
5800,2,0.2404
5850,1,0.2336
5850,2,0.2388
5900,1,0.3214
5900,2,0.2536
5950,1,0.3218
5950,2,0.2486
