Epoch,Group,TestAccuracy
0,1,0.1824
0,2,0.1006
0,3,0.1252
50,1,0.9154
50,2,0.092
50,3,0.108
100,1,0.9336
100,2,0.0854
100,3,0.0868
150,1,0.9358
150,2,0.0936
150,3,0.0892
200,1,0.9362
200,2,0.0918
200,3,0.0958
250,1,0.9452
250,2,0.092
250,3,0.0854
300,1,0.9524
300,2,0.0942
300,3,0.085
350,1,0.941
350,2,0.0952
350,3,0.0778
400,1,0.96
400,2,0.0748
400,3,0.081
450,1,0.9548
450,2,0.0696
450,3,0.097
500,1,0.9512
500,2,0.071
500,3,0.0852
550,1,0.9588
550,2,0.0876
550,3,0.0798
600,1,0.9604
600,2,0.0762
600,3,0.075
650,1,0.954
650,2,0.0694
650,3,0.0716
700,1,0.9456
700,2,0.0888
700,3,0.0966
750,1,0.9672
750,2,0.0704
750,3,0.0706
800,1,0.961
800,2,0.0682
800,3,0.071
850,1,0.97
850,2,0.0686
850,3,0.0768
900,1,0.9612
900,2,0.0588
900,3,0.0674
950,1,0.9658
950,2,0.0576
950,3,0.0814
1000,1,0.9646
1000,2,0.0684
1000,3,0.0946
1050,1,0.9664
1050,2,0.068
1050,3,0.0894
1100,1,0.9658
1100,2,0.0632
1100,3,0.0774
1150,1,0.9688
1150,2,0.0602
1150,3,0.0838
1200,1,0.965
1200,2,0.0586
1200,3,0.0878
1250,1,0.9656
1250,2,0.053
1250,3,0.0752
1300,1,0.9642
1300,2,0.0604
1300,3,0.078
1350,1,0.9692
1350,2,0.0704
1350,3,0.0922
1400,1,0.9662
1400,2,0.0668
1400,3,0.1182
1450,1,0.9658
1450,2,0.0608
1450,3,0.123
1500,1,0.9662
1500,2,0.053
1500,3,0.1086
1550,1,0.967
1550,2,0.054
1550,3,0.0984
1600,1,0.969
1600,2,0.0566
1600,3,0.1042
1650,1,0.9684
1650,2,0.061
1650,3,0.1102
1700,1,0.9684
1700,2,0.0494
1700,3,0.0922
1750,1,0.9688
1750,2,0.0504
1750,3,0.1102
1800,1,0.9708
1800,2,0.0398
1800,3,0.0964
1850,1,0.9628
1850,2,0.0554
1850,3,0.1102
1900,1,0.9692
1900,2,0.0468
1900,3,0.1148
1950,1,0.9664
1950,2,0.062
1950,3,0.1224
2000,1,0.9682
2000,2,0.0626
2000,3,0.1208
2050,1,0.9678
2050,2,0.0416
2050,3,0.0918
2100,1,0.9654
2100,2,0.0514
2100,3,0.0812
2150,1,0.9672
2150,2,0.049
2150,3,0.0992
2200,1,0.9624
2200,2,0.0476
2200,3,0.0874
2250,1,0.9708
2250,2,0.046
2250,3,0.0872
2300,1,0.9668
2300,2,0.044
2300,3,0.0914
2350,1,0.9674
2350,2,0.0612
2350,3,0.099
2400,1,0.9658
2400,2,0.0616
2400,3,0.1118
2450,1,0.9652
2450,2,0.0488
2450,3,0.103
2500,1,0.9708
2500,2,0.0546
2500,3,0.1232
2550,1,0.9664
2550,2,0.0632
2550,3,0.1068
2600,1,0.963
2600,2,0.0642
2600,3,0.1102
2650,1,0.9646
2650,2,0.0622
2650,3,0.125
2700,1,0.97
2700,2,0.0586
2700,3,0.1082
2750,1,0.966
2750,2,0.0622
2750,3,0.1154
2800,1,0.9752
2800,2,0.0616
2800,3,0.1106
2850,1,0.9688
2850,2,0.055
2850,3,0.1058
2900,1,0.9684
2900,2,0.053
2900,3,0.1194
2950,1,0.972
2950,2,0.0618
2950,3,0.1192
3000,1,0.9698
3000,2,0.0624
3000,3,0.127
3050,1,0.938
3050,2,0.5436
3050,3,0.1228
3100,1,0.9076
3100,2,0.597
3100,3,0.1216
3150,1,0.9346
3150,2,0.6134
3150,3,0.1178
3200,1,0.9296
3200,2,0.6508
3200,3,0.1174
3250,1,0.9214
3250,2,0.6456
3250,3,0.112
3300,1,0.9196
3300,2,0.6014
3300,3,0.1166
3350,1,0.914
3350,2,0.653
3350,3,0.104
3400,1,0.9246
3400,2,0.62
3400,3,0.1128
3450,1,0.9184
3450,2,0.6578
3450,3,0.1134
3500,1,0.9188
3500,2,0.662
3500,3,0.1208
3550,1,0.9296
3550,2,0.6378
3550,3,0.1148
3600,1,0.9234
3600,2,0.6506
3600,3,0.1176
3650,1,0.9208
3650,2,0.646
3650,3,0.1174
3700,1,0.908
3700,2,0.6604
3700,3,0.1088
3750,1,0.924
3750,2,0.6682
3750,3,0.1158
3800,1,0.9374
3800,2,0.6432
3800,3,0.1212
3850,1,0.9176
3850,2,0.669
3850,3,0.1172
3900,1,0.9218
3900,2,0.6602
3900,3,0.1194
3950,1,0.929
3950,2,0.6668
3950,3,0.1146
4000,1,0.9172
4000,2,0.6552
4000,3,0.1156
4050,1,0.9194
4050,2,0.6144
4050,3,0.1166
4100,1,0.9296
4100,2,0.6688
4100,3,0.1186
4150,1,0.9254
4150,2,0.6628
4150,3,0.1198
4200,1,0.9296
4200,2,0.6526
4200,3,0.1182
4250,1,0.9376
4250,2,0.6684
4250,3,0.1246
4300,1,0.9374
4300,2,0.6526
4300,3,0.119
4350,1,0.9244
4350,2,0.6636
4350,3,0.117
4400,1,0.9236
4400,2,0.6522
4400,3,0.111
4450,1,0.9228
4450,2,0.6608
4450,3,0.1208
4500,1,0.9338
4500,2,0.6704
4500,3,0.117
4550,1,0.9254
4550,2,0.6418
4550,3,0.1246
4600,1,0.9178
4600,2,0.6558
4600,3,0.1132
4650,1,0.929
4650,2,0.6408
4650,3,0.1162
4700,1,0.9202
4700,2,0.664
4700,3,0.1166
4750,1,0.9306
4750,2,0.6642
4750,3,0.119
4800,1,0.9336
4800,2,0.6408
4800,3,0.1204
4850,1,0.936
4850,2,0.66
4850,3,0.12
4900,1,0.9248
4900,2,0.6662
4900,3,0.124
4950,1,0.9118
4950,2,0.645
4950,3,0.1088
5000,1,0.925
