Epoch,Group,TestAccuracy
0,1,0.1334
0,2,0.2358
0,3,0.1838
50,1,0.8648
50,2,0.8338
50,3,0.8598
100,1,0.866
100,2,0.902
100,3,0.8912
150,1,0.9034
150,2,0.9094
150,3,0.9036
200,1,0.9164
200,2,0.9118
200,3,0.9222
250,1,0.921
250,2,0.9208
250,3,0.9106
300,1,0.9256
300,2,0.9272
300,3,0.9376
350,1,0.9326
350,2,0.9314
350,3,0.9418
400,1,0.9318
400,2,0.9244
400,3,0.9312
450,1,0.9382
450,2,0.9406
450,3,0.9352
500,1,0.9372
500,2,0.9314
500,3,0.9362
550,1,0.9352
550,2,0.9412
550,3,0.934
600,1,0.9448
600,2,0.94
600,3,0.9396
650,1,0.9474
650,2,0.9462
650,3,0.9478
700,1,0.9488
700,2,0.9448
700,3,0.9416
750,1,0.936
750,2,0.946
750,3,0.916
800,1,0.9384
800,2,0.9256
800,3,0.9134
850,1,0.9358
850,2,0.932
850,3,0.944
900,1,0.9304
900,2,0.9466
900,3,0.9346
950,1,0.946
950,2,0.9518
950,3,0.9348
1000,1,0.9428
1000,2,0.949
1000,3,0.9394
1050,1,0.9468
1050,2,0.9524
1050,3,0.9472
1100,1,0.9502
1100,2,0.9518
1100,3,0.9536
1150,1,0.9424
1150,2,0.9518
1150,3,0.9566
1200,1,0.9444
1200,2,0.9452
1200,3,0.9438
1250,1,0.9576
1250,2,0.953
1250,3,0.9462
1300,1,0.9364
1300,2,0.9342
1300,3,0.9472
1350,1,0.9496
1350,2,0.9468
1350,3,0.9468
1400,1,0.9494
1400,2,0.9532
1400,3,0.9494
1450,1,0.9468
1450,2,0.955
1450,3,0.95
1500,1,0.9564
1500,2,0.9384
1500,3,0.9478
1550,1,0.9578
1550,2,0.952
1550,3,0.9564
1600,1,0.9504
1600,2,0.9518
1600,3,0.9438
1650,1,0.951
1650,2,0.9496
1650,3,0.9524
1700,1,0.9644
1700,2,0.9586
1700,3,0.9586
1750,1,0.9462
1750,2,0.9532
1750,3,0.956
1800,1,0.9584
1800,2,0.9464
1800,3,0.9542
1850,1,0.9548
1850,2,0.9568
1850,3,0.9536
1900,1,0.9544
1900,2,0.9566
1900,3,0.9522
1950,1,0.952
1950,2,0.9594
1950,3,0.9568
2000,1,0.9534
2000,2,0.953
2000,3,0.953
2050,1,0.9592
2050,2,0.9548
2050,3,0.951
2100,1,0.9548
2100,2,0.9498
2100,3,0.9586
2150,1,0.9556
2150,2,0.9564
2150,3,0.951
2200,1,0.9504
2200,2,0.9538
2200,3,0.9518
2250,1,0.959
2250,2,0.955
2250,3,0.9558
2300,1,0.9568
2300,2,0.9528
2300,3,0.946
2350,1,0.9588
2350,2,0.9562
2350,3,0.9556
2400,1,0.9624
2400,2,0.9474
2400,3,0.9566
2450,1,0.9498
2450,2,0.9548
2450,3,0.948
2500,1,0.9562
2500,2,0.9546
2500,3,0.9594
2550,1,0.9578
2550,2,0.9572
2550,3,0.9512
