Epoch,Group,TestAccuracy
0,1,0.1936
0,2,0.0756
0,3,0.1084
50,1,0.9096
50,2,0.0826
50,3,0.1074
100,1,0.9288
100,2,0.0524
100,3,0.1146
150,1,0.9382
150,2,0.0876
150,3,0.1226
200,1,0.9452
200,2,0.085
200,3,0.1064
250,1,0.9434
250,2,0.0854
250,3,0.1026
300,1,0.9558
300,2,0.0854
300,3,0.1036
350,1,0.9484
350,2,0.0732
350,3,0.0854
400,1,0.9542
400,2,0.0704
400,3,0.0884
450,1,0.9528
450,2,0.072
450,3,0.087
500,1,0.9492
500,2,0.084
500,3,0.0844
550,1,0.9616
550,2,0.0904
550,3,0.105
600,1,0.9542
600,2,0.0676
600,3,0.0942
650,1,0.9654
650,2,0.073
650,3,0.1046
700,1,0.9568
700,2,0.0816
700,3,0.0936
750,1,0.9678
750,2,0.0692
750,3,0.1162
800,1,0.9642
800,2,0.0718
800,3,0.1112
850,1,0.9622
850,2,0.0784
850,3,0.1134
900,1,0.9624
900,2,0.0502
900,3,0.1114
950,1,0.9614
950,2,0.0796
950,3,0.0886
1000,1,0.9612
1000,2,0.0702
1000,3,0.0998
1050,1,0.9614
1050,2,0.0738
1050,3,0.1002
1100,1,0.9654
1100,2,0.0808
1100,3,0.0874
1150,1,0.9728
1150,2,0.0792
1150,3,0.1
1200,1,0.967
1200,2,0.0608
1200,3,0.0946
1250,1,0.9608
1250,2,0.0818
1250,3,0.103
1300,1,0.9634
1300,2,0.0744
1300,3,0.0942
1350,1,0.9712
1350,2,0.0784
1350,3,0.119
1400,1,0.9646
1400,2,0.077
1400,3,0.0992
1450,1,0.97
1450,2,0.0756
1450,3,0.083
1500,1,0.9658
1500,2,0.072
1500,3,0.0792
1550,1,0.957
1550,2,0.0652
1550,3,0.1094
1600,1,0.9678
1600,2,0.0772
1600,3,0.0872
1650,1,0.9642
1650,2,0.0654
1650,3,0.088
1700,1,0.9646
1700,2,0.0628
1700,3,0.0958
1750,1,0.9654
1750,2,0.0614
1750,3,0.0838
1800,1,0.9676
1800,2,0.0538
1800,3,0.0682
1850,1,0.9664
1850,2,0.068
1850,3,0.0652
1900,1,0.9632
1900,2,0.0724
1900,3,0.088
1950,1,0.9642
1950,2,0.0574
1950,3,0.0934
2000,1,0.969
2000,2,0.0642
2000,3,0.0756
2050,1,0.9692
2050,2,0.0596
2050,3,0.0898
2100,1,0.966
2100,2,0.0702
2100,3,0.089
2150,1,0.9576
2150,2,0.076
2150,3,0.0822
2200,1,0.9632
2200,2,0.0618
2200,3,0.067
2250,1,0.9748
2250,2,0.0688
2250,3,0.0852
2300,1,0.9714
2300,2,0.065
2300,3,0.064
2350,1,0.9716
2350,2,0.0802
2350,3,0.0772
2400,1,0.9656
2400,2,0.0764
2400,3,0.0854
2450,1,0.9652
2450,2,0.0702
2450,3,0.0868
2500,1,0.9722
2500,2,0.065
2500,3,0.0908
2550,1,0.9642
2550,2,0.091
2550,3,0.0854
2600,1,0.9644
2600,2,0.088
2600,3,0.0844
2650,1,0.9692
2650,2,0.0832
2650,3,0.1146
2700,1,0.97
2700,2,0.0678
2700,3,0.109
2750,1,0.9694
2750,2,0.0682
2750,3,0.1122
2800,1,0.9728
2800,2,0.0608
2800,3,0.1038
2850,1,0.9674
2850,2,0.0672
2850,3,0.0954
2900,1,0.9678
2900,2,0.0594
2900,3,0.082
2950,1,0.9698
2950,2,0.061
2950,3,0.105
3000,1,0.9638
3000,2,0.091
3000,3,0.0884
3050,1,0.6942
3050,2,0.8378
3050,3,0.0952
3100,1,0.7158
3100,2,0.8698
3100,3,0.0914
3150,1,0.6848
3150,2,0.9034
3150,3,0.0892
3200,1,0.6372
3200,2,0.9064
3200,3,0.0928
3250,1,0.6114
3250,2,0.9226
3250,3,0.0824
3300,1,0.6036
3300,2,0.9276
3300,3,0.075
3350,1,0.5852
3350,2,0.925
3350,3,0.072
3400,1,0.6058
3400,2,0.926
3400,3,0.0802
3450,1,0.6084
3450,2,0.9346
3450,3,0.0784
3500,1,0.6568
3500,2,0.9344
3500,3,0.0784
3550,1,0.6586
3550,2,0.9418
3550,3,0.078
3600,1,0.5858
3600,2,0.9428
3600,3,0.08
3650,1,0.598
3650,2,0.9432
3650,3,0.0738
3700,1,0.6442
3700,2,0.9444
3700,3,0.0828
3750,1,0.6226
3750,2,0.948
3750,3,0.0784
3800,1,0.6004
3800,2,0.9428
3800,3,0.0738
3850,1,0.6014
3850,2,0.9452
3850,3,0.0712
3900,1,0.5982
3900,2,0.9508
3900,3,0.0784
3950,1,0.6768
3950,2,0.9508
3950,3,0.068
4000,1,0.6494
4000,2,0.9512
4000,3,0.078
4050,1,0.6268
4050,2,0.9494
4050,3,0.0672
4100,1,0.6482
4100,2,0.935
4100,3,0.067
4150,1,0.6302
4150,2,0.9512
4150,3,0.074
4200,1,0.617
4200,2,0.9548
4200,3,0.0802
4250,1,0.6196
4250,2,0.955
4250,3,0.072
4300,1,0.5914
4300,2,0.948
4300,3,0.0816
